,source,label,key,term,IRI,Status,ERROR,,,,,,,,,,,
Helena,Eisenmann,MTIII minimal breadth,,metatarsal bone of digit 3 diaphysis breadth,FOVT:0001604,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII proximal articular breadth,,metatarsal bone of digit 3 proximal articular breadth,FOVT:0001606,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII distal maximal supra-articular breadth,,metatarsal bone of digit 3 supra-articular breadth,FOVT:0001611,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P2 anteroposterior length,,upper premolar tooth 2 occlusal surface length,FOVT:0001236,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p2 anteroposterior length,,lower premolar tooth 2 occlusal surface length,FOVT:0001237,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,P2 length,,upper premolar tooth 2 occlusal surface length,FOVT:0001236,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,p2 length,,lower premolar tooth 2 occlusal surface length,FOVT:0001237,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P2 occlusal breadth,,upper premolar tooth 2 occlusal surface width,FOVT:0001229,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p2 occlusal breadth,,lower premolar tooth 2 occlusal surface width,FOVT:0001230,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P2 occlusal length,,upper premolar tooth 2 occlusal surface length,FOVT:0001236,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p2 occlusal length,,lower premolar tooth 2 occlusal surface length,FOVT:0001237,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P2 transverse width,,upper premolar tooth 2 occlusal surface width,FOVT:0001229,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p2 transverse width,,lower premolar tooth 2 occlusal surface width,FOVT:0001230,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,P2 width,,upper premolar tooth 2 occlusal surface width,FOVT:0001229,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,p2 width,,lower premolar tooth 2 occlusal surface width,FOVT:0001230,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P3 anteroposterior length,,upper premolar tooth 3 occlusal surface length,FOVT:0001250,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p3 anteroposterior length,,lower premolar tooth 3 occlusal surface length,FOVT:0001251,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,P3 length,,upper premolar tooth 3 occlusal surface length,FOVT:0001250,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,p3 length,,lower premolar tooth 3 occlusal surface length,FOVT:0001251,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P3 occlusal breadth,,upper premolar tooth 3 occlusal surface width,FOVT:0001243,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p3 occlusal breadth,,lower premolar tooth 3 occlusal surface width,FOVT:0001244,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P3 occlusal length,,upper premolar tooth 3 occlusal surface length,FOVT:0001250,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,p3 occlusal length,,lower premolar tooth 3 occlusal surface length,FOVT:0001251,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,P3 transverse width,,upper premolar tooth 3 occlusal surface width,FOVT:0001243,in FOVT,,,,,,,,,,,,
